title,content,word_count,topic
राष्ट्रमण्डल खेल,"राष्ट्रमंडल खेल या कॉमनवेल्थ गेम्स एक अंतरराष्ट्रीय बहु-खेल प्रतियोगिता है जिसमें राष्ट्रमंडल देशों के एथलीट शामिल होते हैं। यह आयोजन पहली बार 1930 में हुआ था, तथा तब से हर चार साल पर होता है। राष्ट्रमंडल खेलों को 1930 से 1950 तक ब्रिटिश एंपायर गेम्स, 1954 से 1966 तक ब्रिटिश एंपायर एंड कॉमनवेल्थ गेम्स और 1970 से 1974 तक ब्रिटिश कॉमनवेल्थ गेम्स के नाम से जाना जाता था। विकलांग एथलीटों को उनकी राष्ट्रीय टीमों के पूर्ण सदस्यों के रूप में पहली बार मान्यता देने के कारन, राष्ट्रमंडल खेलों को पहली पूर्ण रूप से समावेशी अंतर्राष्ट्रीय बहु-खेल प्रतियोगिता भी माना जाता है। तथा यह दुनिया का पहला बहु-खेल कार्यक्रम है जो महिलाओं और पुरुषों के पदक की घटनाओं की समान संख्या को शामिल करता है और हाल ही में 2018 के राष्ट्रमंडल खेलों में लागू किया था 
।",137,खेल
2010 राष्ट्रमण्डल खेल,"2010 राष्ट्रमण्डल खेल उन्नीसवें राष्ट्रमंडल खेल थे जिनका आयोजन भारत की राजधानी नई दिल्ली में 3 से 14 अक्टूबर 2010 में किया गया था। दिल्ली में इससे पहले 1951 और 1982 में एशियाई खेल भी आयोजित किए जा चुके हैं। 2010 राष्ट्रमण्डल खेल का उद्घाटन समारोह जवाहर लाल नेहरू स्टेडियम में हुआ था। इन खेलों का आयोजन भारत में पहली बार तथा 1998 में कुआलालम्पुर, मलेशिया के बाद एशिया में दूसरी बार हुआ।",73,खेल
2014 राष्ट्रमण्डल खेल,"2014 राष्ट्रमण्डल खेल (आधिकारिक XX राष्ट्रमण्डल खेल) ग्लासगो, स्कॉटलैंड, में 23 जुलाई से 3 अगस्त 2014 के मध्य आयोजित हुआ। यह ओलंपिक व एशियाड खेलों के बाद तीसरा सबसे बड़ी बहु-खेल स्पर्धा है।
यह स्कॉटलैंड में होने वाला अब तक का सबसे बड़ा बहु-खेल आयोजन रहा जिसमें 4,560 खिलाड़ी 17 विभिन्न खेलों में भाग लिया। स्कॉटलैंड में इससे पूर्व एडिनबरा में 1970 और 1986 के राष्ट्रमण्डल खेल आयोजित कर चुका है।
इन खेलों ने संगठन, लोगों की उपस्तिथि तथा उत्साह के कारण काफी प्रशंसा पाई। राष्ट्रमण्डल खेल संघ के प्रमुख माइक हूपर ने इन खेलों की प्रशंसा करते हुए अब तक इतिहास का असाधारण खेल करार दिया। स्कॉटलैंड की धरती पर तीसरी बार आयोजित हुए इन खेलों में यूनाईटेड किंगडम के गृह देशों इंग्लैंड, वेल्स तथा मेज़बान स्कॉटलैंड ने सबसे अधिक पदक पा कर सर्वश्रेष्ठ प्रदर्शन किया। इंग्लैंड ने 1986 के खेलों के बाद पदक तालिका में शीर्ष स्थान हासिल किया, जो कि स्कॉटलैंड में ही आयोजित हुए थे। किरिबाती ने राष्ट्रमण्डल खेल के इतिहास में अपना पहला पदक जीता, जो कि भारोत्तोलन की पुरुष 105 किग्रा स्पर्धा में स्वर्ण था।",181,खेल
एशियाई खेल,"एशियाई खेलों को एशियाड के नाम से भी जाना जाता है। यह प्रत्येक चार वर्ष बाद आयोजित होने वाली बहु-खेल प्रतियोगिता है जिसमें केवल एशिया के विभिन्न देशों के खिलाड़ी  भाग लेते हैं।
इन खेलों का नियामन एशियाई ओलम्पिक परिषद द्वारा अन्तर्राष्ट्रीय ओलम्पिक परिषद के पर्यवेक्षण में किया जाता है। प्रत्येक प्रतियोगिता में प्रथम स्थान के लिए स्वर्ण, दूसरे के लिए रजत और तीसरे के लिए कांस्य पदक दिए जाते हैं, जिस परम्परा का शुभारम्भ १९५१ (1951) में हुआ था। 
प्रथम एशियाई खेलों का आयोजन दिल्ली, भारत में किया गया था, जिसने १९८२ (1982) में पुनः इन खेलों की मेज़बानी की। एशियाई खेलों के नवीनतम संस्करण का आयोजन २०१८ में इण्डोनेशिया के जकार्ता तथा पालेमबांग नगरों में सम्पन्न हुए। अगला संस्करण २०२२ में होगा जो चीन के हांगझोऊ नगर द्वारा आयोजित किया जायेगा।",133,खेल
२००६ एशियाई खेल,"पन्द्रहवें एशियाई खेल १ दिसंबर से १५ दिसंबर, २००६ के बीच क़तर की राजधानी दोहा में आयोजित किए गए थे। इन खेलों का आयोजन करने वाला दोहा इस क्षेत्र का पहला और पूरे पश्चिम एशिया में दूसरा महानगर था। इससे पहले तेहरान में १९७४ में एशियाई खेलों का आयोजन किया गया था। 
यही वे एशियाई खेल भी थे, जिसमें एशियाई ओलम्पिक परिषद के सभी ४५ सदस्य राष्ट्रों ने भागीदारी की। युरोस्पोर्ट द्वारा इन खेलों का पहली बार यूरोप में प्रसारण किया गया। 
इस खेलों में दक्षिण कोरियाई घुड़सवार किम ह्युंग की मृत्यु की अप्रिय घटना भी हुई जब वे एक घुड़सवारी की प्रतिस्पर्धा के दौरान ही मारे गए।",108,खेल
2010 एशियाई खेल,"सोलहवें एशियाई खेल, १२ नवम्बर से २७ नवम्बर, २०१० के बीच चीन के गुआंग्झोऊ में आयोजित किए जाएँगे। बीजिंग, जिसने १९९० के एशियाई खेलों की मेज़बानी की थी, के बाद गुआंग्झोऊ इन खेलों का आयोजन करने वाला दूसरा चीनी नगर होगा। इसके अतिरिक्त यह इतनी बड़ी संख्या में खेल प्रतियोगिताएँ आयोजित करने वाला अन्तिम नगर होगा, क्योंकि एशियाई ओलम्पिक परिषद ने भविष्य के खेलों के लिए नए नियम लागू किए हैं जो २०१४ के खेलों से यथार्थ में आएँगे। 
गुआंग्झोऊ को ये खेल १ जुलाई, २००४ को प्रदान किए गए थे, जब वह इकलौता बोली लगाने वाला नगर था। यह तब हुआ जब अन्य नगर, अम्मान, क्वालालम्पुर और सियोल बोली प्रक्रिया से पीछे हट गए। खेलों की सह-मेज़बानी तीन पड़ोसी नगरों डोंग्गूआन, फ़ोशन और शानवेइ के द्वारा भी की जाएगी।",130,खेल
2014 एशियाई खेल,सत्रहवें एशियाई खेल २०१४ में दक्षिण कोरिया के इंचियोन में १७ सितम्बर २०१४ से ४ अक्टूबर २०१४ के मध्य आयोजित किए गए।,22,खेल
2018 एशियाई खेल,"अट्ठारहवें एशियाई खेल, जो कि जकार्ता पालेमबांग २०१८ के नाम से भी जाने जाते हैं, सम्पूर्ण एशिया की सबसे बड़ी बहु खेल प्रतियोगिता है, जिसका आयोजन १८ अगस्त से २ सितम्बर २०१८ के मध्य इण्डोनेशिया के जकार्ता और पालेमबांग शहरों में किया गया था। 
ऐसा पहली बार है जब एशियाई खेल दो नगरों जकार्ता (जो कि पूर्व में 1962 एशियाई खेलों का आयोजन कर चुका है) तथा दक्षिण सुमात्रा प्रान्त की राजधानी पालेमबांग में आयोजित हो रहे हैं। इसके अतिरिक्त आयोजन स्थल दोनों नगरों के समीप स्थित बानदुंग तथा बांतेन में भी हैं। उद्घाटन व समापन समारोह जकार्ता के गेलोरा बुंग कर्णों स्टेडियम में आयोजित होंगे।
पहली बार ईस्पोर्ट्स तथा कैनोए पोलो को भी प्रदर्शनी खेलों के रूप में शामिल किया गया है। ईस्पोर्ट्स को 2022 एशियाई खेलोंं में मुख्य खेलों में शामिल किया जायेगा।",135,खेल
1958 एशियाई खेल,"तीसरे एशियाई खेल २४ मई से १ जून, १९५८ को टोक्यो, जापान में आयोजित किए गए थे। २० एशियाई देशों के १,८२० खिलाड़ियों ने इन खेलों की तेरह स्पर्धाओं में भाग लिया। प्रथमोप्रवेश खेल थे, फ़ील्ड हॉकी, टेबल टेनिस, टेनिस और वॉलीबॉल। इन खेलों के आयोजन के बाद टोक्यों ने १९६४ ग्रीष्मकालीन ओलम्पिक खेलों की मेज़बानी भी की।",58,खेल
1951 एशियाई खेल,"प्रथम एशियाई खेल ४ मार्च से ११ मार्च, १९५१ में दिल्ली, भारत में हुए थे। मूल रूप से इन खेलों का आयोजन १९५० में होना तय किया गया था, लेकिन तैयारियों की देरी के चलते इन्हें १९५१ तक स्थगित करना पड़ा। महाराजाधिराज महाराजा यादवेन्द्र सिंह ने इन खेलों के संगठन में एक महत्त्वपूर्ण भूमिका निभाई। यद्यपि जापान को लन्दन में आयोजित १९४८ ग्रीष्मकालीन ओलम्पिक में नहीं खेलने दिया गया और एशियाई खेल संघ की बैठक में भी नहीं बुलाया गया, लेकिन अभिषेकात्मक एशियाई खेलों में स्पर्धा करने दिया गया। कोरिया, कोरियाई युद्ध के चलते भाग नहीं ले सका।",98,खेल
